,cell_type
136,lymphoblastoid cell
149,erythroblasts
153,b lymphocyte
164,cml cell
203,b lymphoblast
259,hematopoietic cell
261,leukemia cell
278,t lymphocyte
310,myeloblast
326,blood monocytes
327,monocyte derived macrophage
390,promyeloblast
516,monocytes
589,epithelial
596,primary t cell
812,erythroid cell
822,kasumi-1
827,lymphoblast
1199,peripheral blood
1214,pro-erythroblast
1249,t lymphoblast
1476,peripheral blood mononuclear cell
1882,polychromatic erythroblast
2090,monocyte
2742,ips cell
3125,hepatic stellate cell
3246,lymphoma cell
3264,bpdcn cell
3320,norma cell
3418,acute monocytic leukemia cell
3437,epstein-barr virus transformed cell
3451,t-cell acute lymphoblastic leukemia cell
3452,acute myeloblastic leukemia cell
3456,acute promyelocytic leukemia cell
3501,neuroblastoma cell
3515,acute t cell leukemia cell
3536,diffuse large b-cell lymphoma cell
3925,immunoglobulin a lambda myeloma cell
4024,normal cell
4144,childhood acute monocytic leukemia cell
4192,human t cell leukemia cell
4223,adult t acute lymphoblastic leukemia cell
4224,childhood t acute lymphoblastic leukemia cell
